Отметка времени,,2. Оцените качество отрывка музыкального произведения от по шкале 1 до 10.  Для прослушивания нажмите на ссылку https://drive.google.com/file/d/1q7lUwxwRvWWhEPGCkPyUhHTx5kvwm5Lc/view?usp=share_link,"1. Знакомы ли вы с музыкальной теорией?(Имеете музыкальное образование, изучали самостоятельно)",Оцените качество отрывка музыкального произведения от по шкале 1 до 10. ,Оцените качество отрывка музыкального произведения от по шкале 1 до 10. ,Оцените качество отрывка музыкального произведения от по шкале 1 до 10. ,Оцените качество отрывка музыкального произведения от по шкале 1 до 10. ,Оцените качество отрывка музыкального произведения от по шкале 1 до 10. ,3. Оцените качество отрывка музыкального произведения от по шкале 1 до 10.  Для прослушивания нажмите на ссылку https://drive.google.com/file/d/1P3TvUECIK9DdHNzUrsxttkLHVAXjtDUv/view?usp=share_link,4. Оцените качество отрывка музыкального произведения от по шкале 1 до 10.  Для прослушивания нажмите на ссылку https://drive.google.com/file/d/1IuFOBzCpB_skDuKmlhyEk9g_Ga-A8f06/view?usp=share_link,5. Оцените качество отрывка музыкального произведения от по шкале 1 до 10.  Для прослушивания нажмите на ссылку https://drive.google.com/file/d/1CSZvDY3v-Z9Lvgf3pvGvOT7XYT5p8o11/view?usp=share_link,6. Оцените качество отрывка музыкального произведения от по шкале 1 до 10.  Для прослушивания нажмите на ссылку https://drive.google.com/file/d/12O5Twuia9BADCPYv8dlDUcNnxqOFsTG1/view?usp=share_link,7. Оцените качество отрывка музыкального произведения от по шкале 1 до 10.  Для прослушивания нажмите на ссылку https://drive.google.com/file/d/1flFuu94ldXlJSx7oEQwgS2Wc-oeZPRSL/view?usp=share_link,Адрес электронной почты
14.05.2023 19:26:39,,7,Да,,,,,,6,4,3,8,6,
14.05.2023 19:33:33,,6,Нет,,,,,,7,6,5,6,5,
14.05.2023 19:41:36,,7,Нет,,,,,,6,3,2,5,6,
14.05.2023 20:00:36,,3,Да,,,,,,3,3,3,8,8,
14.05.2023 21:35:59,,6,Нет,,,,,,6,7,6,5,5,
14.05.2023 21:38:59,,7,Да,,,,,,4,2,3,6,5,
14.05.2023 21:52:49,,4,Нет,,,,,,4,4,4,4,4,
14.05.2023 22:07:00,,7,Нет,,,,,,5,7,6,9,8,
14.05.2023 22:09:35,,9,Нет,,,,,,5,3,4,9,7,
14.05.2023 22:14:45,,10,Нет,,,,,,8,6,5,10,9,
14.05.2023 22:28:28,,9,Нет,,,,,,8,7,5,7,8,
14.05.2023 23:10:21,,8,Да,,,,,,9,6,4,10,8,
14.05.2023 23:13:35,,8,Нет,,,,,,7,4,3,7,5,
14.05.2023 23:24:03,,10,Нет,,,,,,9,8,7,8,8,
15.05.2023 2:12:22,,7,Нет,,,,,,8,6,3,5,4,
15.05.2023 2:14:22,,10,Нет,,,,,,10,10,10,10,10,
15.05.2023 10:09:39,,8,Нет,,,,,,5,4,4,6,6,
15.05.2023 14:42:09,,7,Да,,,,,,8,6,8,9,7,
15.05.2023 15:05:03,,6,Нет,,,,,,5,4,4,7,4,
15.05.2023 15:20:01,,4,Нет,,,,,,5,6,3,6,7,
15.05.2023 23:01:23,,7,Нет,,,,,,8,9,6,7,7,
16.05.2023 10:49:39,,6,Нет,,,,,,7,4,4,8,5,
16.05.2023 13:55:42,,6,Нет,,,,,,4,5,4,6,6,
16.05.2023 19:19:14,,10,Нет,,,,,,9,8,8,10,9,
